CultureCodeA,WordInCultureA,CultureCodeB,WordInCultureB,Mnemonic,
nl-NL,verwijderen,pl-PL,usuń,"oo, zonde (om weg te gooien / verwijderen)",
nl-NL,vlekken,pl-PL,plamy,,
nl-NL,vocht,pl-PL,wilgoć,wil gutsen,
nl-NL,voegen,pl-PL,wypełnić,,
nl-NL,voor,pl-PL,przód,p shot. Daar schieten ze op in films. De voorkant.,
nl-NL,voordeur,pl-PL,drzwi wejściowe,wijst jou verder,
nl-NL,vullen,pl-PL,wypełnij,"Vulpen, nie?",
nl-NL,warm,pl-PL,ciepły,"schepje… voor op het strand, waar het warm is.",
nl-NL,washok,pl-PL,pralnia,,
nl-NL,wastafel,pl-PL,tonący,ton' onder ze / tonijntje,
nl-NL,water,pl-PL,wody,vodden voor water lekkage,
nl-NL,waterafvoer,pl-PL,odprowadzanie wody,op een vat zanje,
nl-NL,WC-rolhouder,pl-PL,Uchwyt na papier toaletowy,,
nl-NL,wegwerken,pl-PL,eliminowanie,,
nl-NL,wit,pl-PL,biały,"bianca, blauwe",
nl-NL,woonkamer,pl-PL,pokój dzienny,,
nl-NL,zolder,pl-PL,poddasze,"potdicht zeg. Pot, dasje: 2 voorbeelden van troep die je op zolder vind.",
